Country_2018,Deaths_2018,Country_2019,Deaths_2019,Country_2020,Deaths_2020,Country_2021,Deaths_2021,Country_2022,Deaths_2022
Afghanistan,35941,Afghanistan,41735,Mexico,34512,Afghanistan,42223,Ukraine,240400
Mexico,33341,Mexico,35588,Afghanistan,20674,Yemen,31048,Ethiopia,105900
Yemen,22201,Yemen,16050,Yemen,19561,Ethiopia,22800,Myanmar,20206
Syria,20130,Syria,11244,Syria,7620,Mexico,18811,Mexico,7821
Iraq,4920,Saudi Arabia,4832,Nigeria,7172,Myanmar,11114,Yemen,6607
Nigeria,4850,Somalia,2604,DR Congo,6162,Nigeria,9687,Somalia,6422
Somalia,3862,Libya,2200,Azerbaijan  Artsakh,6110,DR Congo,6283,DR Congo,6254
Saudi Arabia,3509,Iraq,1850,Somalia,2950,Syria,5828,Syria,5257
DR Congo,1757,Mali,734,Mali,2734,Somalia,3532,Mali,4793
Mali,1285,Egypt,529,Iraq,2436,Iraq,2605,Burkina Faso,4700
South Sudan,1166,South Sudan,519,Burkina Faso,2268,Burkina Faso,2358,Iraq,4181
India,988,India,403,South Sudan,2245,South Sudan,1986,Afghanistan,3930
Cameroon,945,DR Congo,302,Ethiopia,1813,Mali,1911,Nigeria,3780
Ethiopia,886,Colombia,238,Mozambique,1696,CAR,1704,Niger,3000
CAR,842,Cameroon,234,Libya,1484,Sudan,1584,Colombia,2276
Pakistan,736,Pakistan,206,Cameroon,1447,Niger,1454,South Sudan,1731
Libya,727,Thailand,163,Philippines,1316,Colombia,1399,Sudan,1327
Colombia,709,Nigeria,152,Colombia,765,Mozambique,1194,Cameroon,943
Sudan,600,Ukraine,119,India,783,Cameroon,790,Mozambique,916
Turkey,530,Palestine,100,Myanmar,650,Palestine,484,Pakistan,900
